S.No.,Rule,Support,Lift,Confidence
1,PREPARED FOODS  , PASTA & SAUCES,0.142,3.5,0.5
2,CHEESE  , PREPARED FOODS,0.142,1,0.29
3,PREPARED FOODS  , PREPARED FOODS,0.285,3.5,1
4,CHEESE  , PASTA & SAUCES,0.142,2,0.29
5,MEATS  , MEATS,0.285,3.5,1
6,PASTA & SAUCES  , CHEESE,0.142,2,1
7,CHEESE  , CHEESE,0.5,2,1
8,MEATS  , CHEESE,0.071,0.5,0.25
9,PASTA & SAUCES  , PREPARED FOODS,0.142,3.5,1
10,CHEESE  , MEATS,0.071,0.5,0.14
11,ETHNIC  , ETHNIC,0.142,7,1
12,PREPARED FOODS  , CHEESE,0.142,1,0.5
13,PASTA & SAUCES  , PASTA & SAUCES,0.142,7,1
