S.No.,Rule,Support,Lift,Confidence
1,KS 100% JUICE 36/6.75 OZ  , KS 100% JUICE 36/6.75 OZ,0.2,5,1
2,KS ORG VAN SOYMILK 12/32Z  , KS 100% JUICE 36/6.75 OZ,0.2,5,1
3,MOTT'S APPLE JUICE 2/128Z  , MOTT'S APPLE JUICE 2/128Z,0.2,5,1
4,CAPRI SUN 100% JUICE  , KS CRAN COCKTAIL 2/96 OZ,0.2,0.555,0.33
5,KS CRAN COCKTAIL 2/96 OZ  , KS CRAN COCKTAIL 2/96 OZ,0.6,1.666,1
6,SUNNY D 2/128Z FL STYLE  , KS CRAN COCKTAIL 2/96 OZ,0.4,1.666,0.67
7,KS CRAN COCKTAIL 2/96 OZ  , SUNNY D 2/128Z FL STYLE,0.4,1.666,1
8,SUNNY D 2/128Z FL STYLE  , SUNNY D 2/128Z FL STYLE,0.4,2.5,1
9,KS ORG VAN SOYMILK 12/32Z  , KS ORG VAN SOYMILK 12/32Z,0.2,5,1
10,KS 100% JUICE 36/6.75 OZ  , KS ORG VAN SOYMILK 12/32Z,0.2,5,1
11,CAPRI SUN 10% JUICE 40/6Z  , CAPRI SUN 10% JUICE 40/6Z,0.2,5,1
12,KS CRAN COCKTAIL 2/96 OZ  , CAPRI SUN 100% JUICE,0.2,0.555,0.33
13,CAPRI SUN 100% JUICE  , CAPRI SUN 100% JUICE,0.6,1.666,1
14,KS/OS CRANBERRY 2/96 OZ  , KS/OS CRANBERRY 2/96 OZ,0.2,5,1
15,CAPRI SUN SUPERV 40/6 OZ  , CAPRI SUN SUPERV 40/6 OZ,0.2,5,1
