S.No.,Rule,Support,Lift,Confidence
1,HABA  , PRODUCE,0.071,1.037,0.33
2,NFTCKTS  , PRODUCE,0.035,1.555,0.5
3,FROZEN FD  , SUNDRIES,0.142,2.074,0.67
4,SUNDRIES  , FOOD,0.178,2.222,0.56
5,DELI  , FROZEN FD,0.071,3.111,0.67
6,HABA  , PHARM OTC,0.035,0.933,0.17
7,SUNDRIES  , NFTCKTS,0.035,1.555,0.11
8,SERV DELI  , BAKERY,0.035,14,0.5
9,HABA  , LIQUOR,0.071,4.666,0.33
10,BAKERY  , PRODUCE,0.035,3.111,1
11,COOLER  , HABA,0.142,2.074,0.44
12,PRODUCE  , DELI,0.107,3.111,0.33
13,PRODUCE  , NFTCKTS,0.035,1.555,0.11
14,CANDY  , CANDY,0.142,7,1
15,SERV DELI  , PRODUCE,0.071,3.111,1
16,PRODUCE  , PHARM OTC,0.142,2.488,0.44
17,COOLER  , PHARM OTC,0.071,1.244,0.22
18,COOLER  , TOYS/SEAS,0.035,1.555,0.11
19,SUNDRIES  , BAKERY,0.035,3.111,0.11
20,FOOD  , FOOD,0.25,4,1
21,Mbrship  , Mbrship,0.071,14,1
22,HABA  , OFFICE,0.035,2.333,0.17
23,NFTCKTS  , HABA,0.035,2.333,0.5
24,LIQUOR  , PRODUCE,0.035,1.555,0.5
25,COOLER  , FOOD,0.214,2.666,0.67
26,PHARM OTC  , HABA,0.035,0.933,0.2
27,FOOD  , SERV DELI,0.035,2,0.14
28,SERV DELI  , FOOD,0.035,2,0.5
29,COOLER  , BAKERY,0.035,3.111,0.11
30,GARDEN  , PRODUCE,0.035,3.111,1
31,PRODUCE  , GARDEN,0.035,3.111,0.11
32,COOLER  , SERV DELI,0.035,1.555,0.11
33,SUNDRIES  , PHARM OTC,0.178,3.111,0.56
34,MAJORS  , MAJORS,0.035,28,1
35,PRODUCE  , BAKERY,0.035,3.111,0.11
36,COOLER  , DELI,0.071,2.074,0.22
37,PHARM OTC  , FROZEN FD,0.035,0.933,0.2
38,TOYS/SEAS  , SUNDRIES,0.035,1.555,0.5
39,TOYS/SEAS  , DELI,0.035,4.666,0.5
40,LIQUOR  , SUNDRIES,0.071,3.111,1
41,SUNDRIES  , TOYS/SEAS,0.035,1.555,0.11
42,TOYS/SEAS  , FOOD,0.035,2,0.5
43,BAKERY  , SERV DELI,0.035,14,1
44,FROZEN FD  , PHARM OTC,0.035,0.933,0.17
45,NFTCKTS  , FROZEN FD,0.035,2.333,0.5
46,PRODUCE  , SUNDRIES,0.214,2.074,0.67
47,PRODUCE  , SERV DELI,0.071,3.111,0.22
48,DELI  , PHARM OTC,0.071,3.733,0.67
49,FOOD  , CANDY,0.071,2,0.29
50,DELI  , COOLER,0.071,2.074,0.67
51,SUNDRIES  , FROZEN FD,0.142,2.074,0.44
52,PHARM OTC  , SERV DELI,0.035,2.8,0.2
53,GASOLINE  , GASOLINE,0.25,4,1
54,FOOD  , FROZEN FD,0.142,2.666,0.57
55,NFTCKTS  , CANDY,0.035,3.5,0.5
56,CANDY  , BAKERY,0.035,7,0.25
57,HABA  , FROZEN FD,0.107,2.333,0.5
58,LIQUOR  , FROZEN FD,0.035,2.333,0.5
59,FOOD  , DELI,0.107,4,0.43
60,FOOD  , TOYS/SEAS,0.035,2,0.14
61,FROZEN FD  , OFFICE,0.035,2.333,0.17
62,TOYS/SEAS  , COOLER,0.035,1.555,0.5
63,NFTCKTS  , COOLER,0.035,1.555,0.5
64,PHARM OTC  , DELI,0.071,3.733,0.4
65,PHARM OTC  , PHARM OTC,0.178,5.6,1
66,SUNDRIES  , CANDY,0.071,1.555,0.22
67,BAKERY  , CANDY,0.035,7,1
68,FROZEN FD  , NFTCKTS,0.035,2.333,0.17
69,CANDY  , PRODUCE,0.107,2.333,0.75
70,SERV DELI  , FROZEN FD,0.035,2.333,0.5
71,DELI  , SUNDRIES,0.071,2.074,0.67
72,COOLER  , CANDY,0.107,2.333,0.33
73,SUNDRIES  , PRODUCE,0.214,2.074,0.67
74,COOLER  , COOLER,0.321,3.111,1
75,COOLER  , FROZEN FD,0.178,2.592,0.56
