S.No.,Rule,Support,Lift,Confidence
1,CHICKEN ALFREDO  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
2,CNTRY TIME LEMONADE 67.3Z  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
3,KS CUTS IN GRAVY 24/13.2  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
4,KS ORANGE JUICE 1 GALLON  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
5,BANANAS  , KS 2% LOWFAT MILK 2/1 GAL,0.058,5.666,1
6,BUTTER POUND CAKE  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
7,GOURMET CHOCOLATE CHUNK  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
8,KS WHEAT BREAD  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
9,KS 2% LOWFAT MILK 2/1 GAL  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
10,KS VITARAIN ZERO 24/20 OZ  , KS 2% LOWFAT MILK 2/1 GAL,0.058,17,1
11,KS EVRONRESP LIQLDY 120LD  , KS WHOLE MILK 2/1 GALLON,0.058,17,1
12,BANANAS  , KS WHOLE MILK 2/1 GALLON,0.058,5.666,1
13,STRAWBERRIES  , KS WHOLE MILK 2/1 GALLON,0.058,17,1
14,KS WHOLE MILK 2/1 GALLON  , KS WHOLE MILK 2/1 GALLON,0.058,17,1
15,KS SUPREME DIAPERS SZ 5  , KS WHOLE MILK 2/1 GALLON,0.058,17,1
16,ORGANIC BABY PEAS 8/5#  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
17,RED SKIN MASHED POTATOES  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
18,ORGANIC GREEN BEANS 8/5#  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
19,ROMAINE HEARTS  6 CT BAG  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
20,KS MOIST FLUSHABLE WIPES  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
21,GLADE SCENTED OIL HWN BRZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
22,MINI BABYBEL CHEESE  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
23,SUGAR SNAP PEA  , WHOLE GRAIN WHITE 2/32 OZ,0.058,8.5,1
24,KS PECORINO ROMANO 1.7#RW  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
25,7-CHZ RAINBOW TORTELLINI  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
26,WHOLE GRAIN WHITE 2/32 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
27,ENGLISH CUCUMBERS  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
28,BAGELS 12 COUNT  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
29,HALF & HALF UP HG  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
30,ROMA TOMATOES  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
31,RICE KRISPIE TRT 54/.78 Z  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
32,COFFEEMATE F.VAN. 1/64 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
33,BTB ORG CHICKEN BASE 16OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
34,KS 2PLY BATH TIS 30/425SH  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
35,FRIGO STRING CHEESE 60/1Z  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
36,ORGANIC SPRING MIX  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
37,FROSTED MINI-WHEATS 70 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
38,KALAMATA OLIVES 52.9OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
39,FRESH CELERY STALKS  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
40,GAROFALO SPAG 8/17.6OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
41,NP ORG FLAX GRNOLA 35.3Z  , WHOLE GRAIN WHITE 2/32 OZ,0.058,8.5,1
42,DELUXE VEGETBLE BLND 8/5#  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
43,SCOOP AWAY 42LB LITTER BG  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
44,GOURMET MEDLEY POTATOES  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
45,ONE A DAY WOMEN'S VITAMIN  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
46,KS PLC WRAP 2/750'11 7/8  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
47,BROCCOLI FLORETS 8/3.5#  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
48,GAROFALO PASTA VTY 6/1.1#  , WHOLE GRAIN WHITE 2/32 OZ,0.058,17,1
49,SOUVERAIN CHARDONNAY  , SALAD MIX,0.058,17,1
50,KS HEALTHY WEIGHT CAT 20#  , SALAD MIX,0.058,17,1
51,NP ORG FLAX GRNOLA 35.3Z  , SALAD MIX,0.058,8.5,1
52,KS BUTTER QTRS  6-4/1#  , SALAD MIX,0.058,17,1
53,FOUR BEAN SALAD 2/35.5 OZ  , SALAD MIX,0.058,17,1
54,SUGAR SNAP PEA  , SALAD MIX,0.058,8.5,1
55,CEDAR GRILLING PLANKS 6PK  , SALAD MIX,0.058,17,1
56,KS CHARDONNAY 1.5L  , SALAD MIX,0.058,17,1
57,CHICKEN POT PIES 8CT/10OZ  , SALAD MIX,0.058,17,1
58,KS MALBEC  , SALAD MIX,0.058,17,1
59,SALAD MIX  , SALAD MIX,0.058,17,1
60,RASPBERRIES 12OZ CLMSHEL  , SALAD MIX,0.058,17,1
61,SALONPAS PAIN RELIEVING  , SALAD MIX,0.058,17,1
62,LA CARRAIA UMBRIA  , SALAD MIX,0.058,17,1
63,BODEGA NORTON MALBEC RSV  , SALAD MIX,0.058,17,1
64,BENMARCO MALBEC  , SALAD MIX,0.058,17,1
65,WHOLE ARTICHOKES 6/2-32OZ  , SALAD MIX,0.058,17,1
66,WILD PACIFIC COLD WATER  , SALAD MIX,0.058,17,1
67,ORGANIC BABY SPINACH  , SALAD MIX,0.058,17,1
68,CRIMINI MUSHROOMS  , SALAD MIX,0.058,17,1
69,CHKN POTSTICKERS 9/4.2#  , SALAD MIX,0.058,17,1
70,CLOS DU BOIS CHARDONNAY  , SALAD MIX,0.058,17,1
71,KASIA'S PIEROGI 8/3-14 OZ  , SALAD MIX,0.058,17,1
72,KJ GRAND RSV CHARDONNAY  , SALAD MIX,0.058,17,1
73,KS MALBEC  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
74,CHICKEN POT PIES 8CT/10OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
75,LA CARRAIA UMBRIA  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
76,KJ GRAND RSV CHARDONNAY  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
77,FOUR BEAN SALAD 2/35.5 OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
78,WILD PACIFIC COLD WATER  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
79,CLOS DU BOIS CHARDONNAY  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
80,CHKN POTSTICKERS 9/4.2#  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
81,ORGANIC BABY SPINACH  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
82,KS BUTTER QTRS  6-4/1#  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
83,KS HEALTHY WEIGHT CAT 20#  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
84,SALAD MIX  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
85,WHOLE ARTICHOKES 6/2-32OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
86,SALONPAS PAIN RELIEVING  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
87,CRIMINI MUSHROOMS  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
88,BENMARCO MALBEC  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
89,NP ORG FLAX GRNOLA 35.3Z  , FOUR BEAN SALAD 2/35.5 OZ,0.058,8.5,1
90,KASIA'S PIEROGI 8/3-14 OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
91,KS CHARDONNAY 1.5L  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
92,SOUVERAIN CHARDONNAY  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
93,SUGAR SNAP PEA  , FOUR BEAN SALAD 2/35.5 OZ,0.058,8.5,1
94,RASPBERRIES 12OZ CLMSHEL  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
95,CEDAR GRILLING PLANKS 6PK  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
96,BODEGA NORTON MALBEC RSV  , FOUR BEAN SALAD 2/35.5 OZ,0.058,17,1
97,ONE A DAY WOMEN'S VITAMIN  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
98,GAROFALO PASTA VTY 6/1.1#  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
99,FRIGO STRING CHEESE 60/1Z  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
100,NP ORG FLAX GRNOLA 35.3Z  , DELUXE VEGETBLE BLND 8/5#,0.058,8.5,1
101,ENGLISH CUCUMBERS  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
102,KS 2PLY BATH TIS 30/425SH  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
103,SUGAR SNAP PEA  , DELUXE VEGETBLE BLND 8/5#,0.058,8.5,1
104,ORGANIC BABY PEAS 8/5#  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
105,7-CHZ RAINBOW TORTELLINI  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
106,KS PLC WRAP 2/750'11 7/8  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
107,KALAMATA OLIVES 52.9OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
108,KS MOIST FLUSHABLE WIPES  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
109,GAROFALO SPAG 8/17.6OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
110,GOURMET MEDLEY POTATOES  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
111,BROCCOLI FLORETS 8/3.5#  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
112,RED SKIN MASHED POTATOES  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
113,ROMAINE HEARTS  6 CT BAG  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
114,GLADE SCENTED OIL HWN BRZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
115,FROSTED MINI-WHEATS 70 OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
116,ORGANIC GREEN BEANS 8/5#  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
117,COFFEEMATE F.VAN. 1/64 OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
118,ROMA TOMATOES  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
119,FRESH CELERY STALKS  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
120,WHOLE GRAIN WHITE 2/32 OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
121,KS PECORINO ROMANO 1.7#RW  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
122,RICE KRISPIE TRT 54/.78 Z  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
123,BAGELS 12 COUNT  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
124,SCOOP AWAY 42LB LITTER BG  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
125,BTB ORG CHICKEN BASE 16OZ  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
126,DELUXE VEGETBLE BLND 8/5#  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
127,ORGANIC SPRING MIX  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
128,MINI BABYBEL CHEESE  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
129,HALF & HALF UP HG  , DELUXE VEGETBLE BLND 8/5#,0.058,17,1
130,KS ORANGE JUICE 1 GALLON  , KS WHEAT BREAD,0.058,17,1
131,BANANAS  , KS WHEAT BREAD,0.058,5.666,1
132,KS VITARAIN ZERO 24/20 OZ  , KS WHEAT BREAD,0.058,17,1
133,KS WHEAT BREAD  , KS WHEAT BREAD,0.058,17,1
134,KS 2% LOWFAT MILK 2/1 GAL  , KS WHEAT BREAD,0.058,17,1
135,CHICKEN ALFREDO  , KS WHEAT BREAD,0.058,17,1
136,CNTRY TIME LEMONADE 67.3Z  , KS WHEAT BREAD,0.058,17,1
137,GOURMET CHOCOLATE CHUNK  , KS WHEAT BREAD,0.058,17,1
138,KS CUTS IN GRAVY 24/13.2  , KS WHEAT BREAD,0.058,17,1
139,BUTTER POUND CAKE  , KS WHEAT BREAD,0.058,17,1
140,FOUR BEAN SALAD 2/35.5 OZ  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
141,BODEGA NORTON MALBEC RSV  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
142,CEDAR GRILLING PLANKS 6PK  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
143,SUGAR SNAP PEA  , CHICKEN POT PIES 8CT/10OZ,0.058,8.5,1
144,KS MALBEC  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
145,WILD PACIFIC COLD WATER  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
146,KASIA'S PIEROGI 8/3-14 OZ  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
147,SOUVERAIN CHARDONNAY  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
148,KS CHARDONNAY 1.5L  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
149,WHOLE ARTICHOKES 6/2-32OZ  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
150,BENMARCO MALBEC  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
151,KS BUTTER QTRS  6-4/1#  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
152,NP ORG FLAX GRNOLA 35.3Z  , CHICKEN POT PIES 8CT/10OZ,0.058,8.5,1
153,CLOS DU BOIS CHARDONNAY  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
154,SALONPAS PAIN RELIEVING  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
155,CRIMINI MUSHROOMS  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
156,SALAD MIX  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
157,CHKN POTSTICKERS 9/4.2#  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
158,ORGANIC BABY SPINACH  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
159,KJ GRAND RSV CHARDONNAY  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
160,LA CARRAIA UMBRIA  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
161,KS HEALTHY WEIGHT CAT 20#  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
162,RASPBERRIES 12OZ CLMSHEL  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
163,CHICKEN POT PIES 8CT/10OZ  , CHICKEN POT PIES 8CT/10OZ,0.058,17,1
164,BAGELS 12 COUNT  , MINI BABYBEL CHEESE,0.058,17,1
165,ROMAINE HEARTS  6 CT BAG  , MINI BABYBEL CHEESE,0.058,17,1
166,FRIGO STRING CHEESE 60/1Z  , MINI BABYBEL CHEESE,0.058,17,1
167,COFFEEMATE F.VAN. 1/64 OZ  , MINI BABYBEL CHEESE,0.058,17,1
168,BTB ORG CHICKEN BASE 16OZ  , MINI BABYBEL CHEESE,0.058,17,1
169,GOURMET MEDLEY POTATOES  , MINI BABYBEL CHEESE,0.058,17,1
170,NP ORG FLAX GRNOLA 35.3Z  , MINI BABYBEL CHEESE,0.058,8.5,1
171,SCOOP AWAY 42LB LITTER BG  , MINI BABYBEL CHEESE,0.058,17,1
172,KS 2PLY BATH TIS 30/425SH  , MINI BABYBEL CHEESE,0.058,17,1
173,KS MOIST FLUSHABLE WIPES  , MINI BABYBEL CHEESE,0.058,17,1
174,ROMA TOMATOES  , MINI BABYBEL CHEESE,0.058,17,1
175,HALF & HALF UP HG  , MINI BABYBEL CHEESE,0.058,17,1
176,7-CHZ RAINBOW TORTELLINI  , MINI BABYBEL CHEESE,0.058,17,1
177,DELUXE VEGETBLE BLND 8/5#  , MINI BABYBEL CHEESE,0.058,17,1
178,RICE KRISPIE TRT 54/.78 Z  , MINI BABYBEL CHEESE,0.058,17,1
179,ORGANIC BABY PEAS 8/5#  , MINI BABYBEL CHEESE,0.058,17,1
180,GAROFALO SPAG 8/17.6OZ  , MINI BABYBEL CHEESE,0.058,17,1
181,ENGLISH CUCUMBERS  , MINI BABYBEL CHEESE,0.058,17,1
182,BROCCOLI FLORETS 8/3.5#  , MINI BABYBEL CHEESE,0.058,17,1
183,ORGANIC GREEN BEANS 8/5#  , MINI BABYBEL CHEESE,0.058,17,1
184,KS PLC WRAP 2/750'11 7/8  , MINI BABYBEL CHEESE,0.058,17,1
185,MINI BABYBEL CHEESE  , MINI BABYBEL CHEESE,0.058,17,1
186,FRESH CELERY STALKS  , MINI BABYBEL CHEESE,0.058,17,1
187,RED SKIN MASHED POTATOES  , MINI BABYBEL CHEESE,0.058,17,1
188,ONE A DAY WOMEN'S VITAMIN  , MINI BABYBEL CHEESE,0.058,17,1
189,KS PECORINO ROMANO 1.7#RW  , MINI BABYBEL CHEESE,0.058,17,1
190,GAROFALO PASTA VTY 6/1.1#  , MINI BABYBEL CHEESE,0.058,17,1
191,SUGAR SNAP PEA  , MINI BABYBEL CHEESE,0.058,8.5,1
192,KALAMATA OLIVES 52.9OZ  , MINI BABYBEL CHEESE,0.058,17,1
193,ORGANIC SPRING MIX  , MINI BABYBEL CHEESE,0.058,17,1
194,FROSTED MINI-WHEATS 70 OZ  , MINI BABYBEL CHEESE,0.058,17,1
195,WHOLE GRAIN WHITE 2/32 OZ  , MINI BABYBEL CHEESE,0.058,17,1
196,GLADE SCENTED OIL HWN BRZ  , MINI BABYBEL CHEESE,0.058,17,1
197,KS NAT. PSYLLIUM FIBER ST  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
198,BEST FOODS MAYO 64 OZ  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
199,LEM-LIME POWDER 76.5Z GAT  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
200,S.V. PINTO BEANS   8/15 Z  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
201,CACIQUE QUESO FRESCO 2/16  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
202,CAPRI SUN 10% JUICE 40/6Z  , CACIQUE QUESO FRESCO 2/16,0.058,17,1
203,KS NAT. PSYLLIUM FIBER ST  , BEST FOODS MAYO 64 OZ,0.058,17,1
204,LEM-LIME POWDER 76.5Z GAT  , BEST FOODS MAYO 64 OZ,0.058,17,1
205,CAPRI SUN 10% JUICE 40/6Z  , BEST FOODS MAYO 64 OZ,0.058,17,1
206,CACIQUE QUESO FRESCO 2/16  , BEST FOODS MAYO 64 OZ,0.058,17,1
207,S.V. PINTO BEANS   8/15 Z  , BEST FOODS MAYO 64 OZ,0.058,17,1
208,BEST FOODS MAYO 64 OZ  , BEST FOODS MAYO 64 OZ,0.058,17,1
209,BANANAS  , DANNON DANIMALS 24/3.1OZ,0.058,5.666,1
210,ORGANIC 2% MILK 2-1 GAL  , DANNON DANIMALS 24/3.1OZ,0.058,17,1
211,DANNON DANIMALS 24/3.1OZ  , DANNON DANIMALS 24/3.1OZ,0.058,17,1
212,SLICE CHEESE PIZZA   RIM#  , DANNON DANIMALS 24/3.1OZ,0.058,17,1
213,BUTTER POUND CAKE  , BANANAS,0.058,5.666,0.33
214,CHICKEN ALFREDO  , BANANAS,0.058,5.666,0.33
215,BANANAS  , BANANAS,0.176,5.666,1
216,GOURMET CHOCOLATE CHUNK  , BANANAS,0.058,5.666,0.33
217,CNTRY TIME LEMONADE 67.3Z  , BANANAS,0.058,5.666,0.33
218,DANNON DANIMALS 24/3.1OZ  , BANANAS,0.058,5.666,0.33
219,ORGANIC 2% MILK 2-1 GAL  , BANANAS,0.058,5.666,0.33
220,KS ORANGE JUICE 1 GALLON  , BANANAS,0.058,5.666,0.33
221,KS CUTS IN GRAVY 24/13.2  , BANANAS,0.058,5.666,0.33
222,KS WHOLE MILK 2/1 GALLON  , BANANAS,0.058,5.666,0.33
223,KS WHEAT BREAD  , BANANAS,0.058,5.666,0.33
224,KS SUPREME DIAPERS SZ 5  , BANANAS,0.058,5.666,0.33
225,KS VITARAIN ZERO 24/20 OZ  , BANANAS,0.058,5.666,0.33
226,KS EVRONRESP LIQLDY 120LD  , BANANAS,0.058,5.666,0.33
227,STRAWBERRIES  , BANANAS,0.058,5.666,0.33
228,KS 2% LOWFAT MILK 2/1 GAL  , BANANAS,0.058,5.666,0.33
229,SLICE CHEESE PIZZA   RIM#  , BANANAS,0.058,5.666,0.33
230,ENGLISH CUCUMBERS  , BAGELS 12 COUNT,0.058,17,1
231,MINI BABYBEL CHEESE  , BAGELS 12 COUNT,0.058,17,1
232,BTB ORG CHICKEN BASE 16OZ  , BAGELS 12 COUNT,0.058,17,1
233,ROMA TOMATOES  , BAGELS 12 COUNT,0.058,17,1
234,ORGANIC GREEN BEANS 8/5#  , BAGELS 12 COUNT,0.058,17,1
235,KS PECORINO ROMANO 1.7#RW  , BAGELS 12 COUNT,0.058,17,1
236,GLADE SCENTED OIL HWN BRZ  , BAGELS 12 COUNT,0.058,17,1
237,GOURMET MEDLEY POTATOES  , BAGELS 12 COUNT,0.058,17,1
238,FROSTED MINI-WHEATS 70 OZ  , BAGELS 12 COUNT,0.058,17,1
239,BROCCOLI FLORETS 8/3.5#  , BAGELS 12 COUNT,0.058,17,1
240,KALAMATA OLIVES 52.9OZ  , BAGELS 12 COUNT,0.058,17,1
