S.No.,Rule,Support,Lift,Confidence
1,MAZOLA CORN OIL 2.5GL  , HOMAI CALROSE RICE 50#,0.034,29,1
2,HOMAI CALROSE RICE 50#  , HOMAI CALROSE RICE 50#,0.034,29,1
3,QUAKER OLD FASHN OATS 10#  , HOMAI CALROSE RICE 50#,0.034,14.5,1
4,KS WHEAT BREAD  , HOMAI CALROSE RICE 50#,0.034,7.25,1
5,PETITE PALMIERS 32 OZ  , HOMAI CALROSE RICE 50#,0.034,9.666,1
6,SCHWEBEL'S GIANT WHITE  , GOYA BLACK BEANS 6/15.5 Z,0.034,29,1
7,GOYA BLACK BEANS 6/15.5 Z  , GOYA BLACK BEANS 6/15.5 Z,0.034,29,1
8,SUNDRIED TOMATOES 12/32Z  , GOYA BLACK BEANS 6/15.5 Z,0.034,14.5,1
9,KRAFT PARM CHEESE 24OZ  , GOYA BLACK BEANS 6/15.5 Z,0.034,29,1
10,CAPRI SUN 100% JUICE  , GOYA BLACK BEANS 6/15.5 Z,0.034,9.666,1
11,HAWAIIAN SWEET ROLLS 24CT  , SPAM LOW SODIUM 6/12OZ,0.034,29,1
12,SPAM LOW SODIUM 6/12OZ  , SPAM LOW SODIUM 6/12OZ,0.034,29,1
13,MOTT'S APPLE JUICE 2/128Z  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
14,MOTTS ORIGINAL APPLESAUCE  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
15,HLTHY BGNNNGS WHITE WHEAT  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
16,C&F MAYOCOBA BEANS  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
17,KS GARLIC & MED SEA SALT  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
18,DM FRUIT VTY CUP 20/4 OZ  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
19,412086 PARSLEY FLAKES  , DM FRUIT VTY CUP 20/4 OZ,0.034,29,1
20,GAROFALO PASTA VTY 6/1.1#  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
21,KS RED RASPBERRY 42 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
22,WHOLE GRAIN WHITE 2/32 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.068,14.5,1
23,XL PITTED BLK OLIVES 8/6Z  , WHOLE GRAIN WHITE 2/32 OZ,0.034,7.25,0.5
24,KS SLICED PEACHES 8/15OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
25,KS CHICKEN BREAST 6/12.5Z  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
26,KS ORG DICED TOM 8/14.5OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
27,HUNT'S SNACK PACK 36/3.75  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
28,NP ORG FLAX GRNOLA 35.3Z  , WHOLE GRAIN WHITE 2/32 OZ,0.068,5.8,1
29,SWISS MISS NO-SUGAR 60CT  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
30,KS PURE HONEY BEAR 3/24OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
31,KALAMATA OLIVES 52.9OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
32,KS ORG EX V OLIVE OIL 2L  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
33,MISSION 10 FLOUR TORT.  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
34,CAPRI SUN SUPERV 40/6 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
35,KS MARINARA SAUCE 3/32OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
36,KS ARTICHOKE IN OIL 2/33Z  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
37,STUFF QUEEN OLIVES 2/21OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
38,QUAKER TOASTED OATMEAL  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
39,FROSTED MINI-WHEATS 70 OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.068,9.666,1
40,SUNPIX HEARTS/PALM 2/25OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
41,GAROFALO SPAG 8/17.6OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.068,14.5,1
42,BTB ORG CHICKEN BASE 16OZ  , WHOLE GRAIN WHITE 2/32 OZ,0.034,14.5,0.5
43,KS MULTIGRAIN ROUNDS 24CT  , 6' HOT DOG BUNS 24CT,0.034,29,1
44,FROSTED MINI-WHEATS 70 OZ  , 6' HOT DOG BUNS 24CT,0.034,9.666,1
45,6' HOT DOG BUNS 24CT  , 6' HOT DOG BUNS 24CT,0.034,29,1
46,SKIPPY CREAMY 2/48 OZ  , 6' HOT DOG BUNS 24CT,0.034,29,1
47,OROWEAT PICK 2-2/32 OZ.  , OROWEAT PICK 2-2/32 OZ.,0.034,29,1
48,HEINZ KETCHUP 3/44 OZ.  , OROWEAT PICK 2-2/32 OZ.,0.034,29,1
49,KELLOGGS RAISIN BRAN 76.5  , OROWEAT PICK 2-2/32 OZ.,0.034,29,1
50,NP ORG FLAX GRNOLA 35.3Z  , FOUR BEAN SALAD 2/35.5 OZ,0.034,5.8,1
51,WHOLE ARTICHOKES 6/2-32OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.034,29,1
52,FOUR BEAN SALAD 2/35.5 OZ  , FOUR BEAN SALAD 2/35.5 OZ,0.034,29,1
53,XL PITTED BLK OLIVES 8/6Z  , KS 100% JUICE 36/6.75 OZ,0.034,14.5,1
54,KS ORG VAN SOYMILK 12/32Z  , KS 100% JUICE 36/6.75 OZ,0.034,29,1
55,KS 100% JUICE 36/6.75 OZ  , KS 100% JUICE 36/6.75 OZ,0.034,29,1
56,GUERRERO 6 CORN TORTILLA  , GUERRERO 6 CORN TORTILLA,0.034,29,1
57,KS MULTIGRAIN BREAD 2/28Z  , GUERRERO 6 CORN TORTILLA,0.034,14.5,1
58,KS CRAN COCKTAIL 2/96 OZ  , GUERRERO 6 CORN TORTILLA,0.034,9.666,1
59,SUNNY D 2/128Z FL STYLE  , GUERRERO 6 CORN TORTILLA,0.034,14.5,1
60,KS MANDARIN ORANGE 20/4Z  , KS WHEAT BREAD,0.034,7.25,0.25
61,MAZOLA CORN OIL 2.5GL  , KS WHEAT BREAD,0.034,7.25,0.25
62,SUNNY D 2/128Z FL STYLE  , KS WHEAT BREAD,0.034,3.625,0.25
63,STRAWBERRY 2/32Z SMUCKERS  , KS WHEAT BREAD,0.034,7.25,0.25
64,KS WHEAT BREAD  , KS WHEAT BREAD,0.137,7.25,1
65,CHOLULA HOTSAUCE 2/12 OZ.  , KS WHEAT BREAD,0.034,7.25,0.25
66,MAYOCOBA BEANS  20LB  , KS WHEAT BREAD,0.034,7.25,0.25
67,QUAKER OLD FASHN OATS 10#  , KS WHEAT BREAD,0.034,3.625,0.25
68,CNTRY TIME LEMONADE 67.3Z  , KS WHEAT BREAD,0.034,7.25,0.25
69,HOMAI CALROSE RICE 50#  , KS WHEAT BREAD,0.034,7.25,0.25
70,KS CRAN COCKTAIL 2/96 OZ  , KS WHEAT BREAD,0.034,2.416,0.25
71,PETITE PALMIERS 32 OZ  , KS WHEAT BREAD,0.068,4.833,0.5
72,MAZOLA CORN OIL 2.5GL  , MAZOLA CORN OIL 2.5GL,0.034,29,1
73,PETITE PALMIERS 32 OZ  , MAZOLA CORN OIL 2.5GL,0.034,9.666,1
74,HOMAI CALROSE RICE 50#  , MAZOLA CORN OIL 2.5GL,0.034,29,1
75,QUAKER OLD FASHN OATS 10#  , MAZOLA CORN OIL 2.5GL,0.034,14.5,1
76,KS WHEAT BREAD  , MAZOLA CORN OIL 2.5GL,0.034,7.25,1
77,BEST FOODS MAYO 64 OZ  , BEST FOODS MAYO 64 OZ,0.034,29,1
78,LEM-LIME POWDER 76.5Z GAT  , BEST FOODS MAYO 64 OZ,0.034,29,1
79,S.V. PINTO BEANS   8/15 Z  , BEST FOODS MAYO 64 OZ,0.034,29,1
80,CAPRI SUN 10% JUICE 40/6Z  , BEST FOODS MAYO 64 OZ,0.034,29,1
81,C&F MAYOCOBA BEANS  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
82,KS GARLIC & MED SEA SALT  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
83,HLTHY BGNNNGS WHITE WHEAT  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
84,412086 PARSLEY FLAKES  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
85,MOTT'S APPLE JUICE 2/128Z  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
86,MOTTS ORIGINAL APPLESAUCE  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
87,DM FRUIT VTY CUP 20/4 OZ  , MOTT'S APPLE JUICE 2/128Z,0.034,29,1
88,PETITE PALMIERS 32 OZ  , KS CRAN COCKTAIL 2/96 OZ,0.034,3.222,0.33
89,KS MULTIGRAIN BREAD 2/28Z  , KS CRAN COCKTAIL 2/96 OZ,0.034,4.833,0.33
90,KS MANDARIN ORANGE 20/4Z  , KS CRAN COCKTAIL 2/96 OZ,0.034,9.666,0.33
91,SUNNY D 2/128Z FL STYLE  , KS CRAN COCKTAIL 2/96 OZ,0.068,9.666,0.67
92,KS WHEAT BREAD  , KS CRAN COCKTAIL 2/96 OZ,0.034,2.416,0.33
93,GUERRERO 6 CORN TORTILLA  , KS CRAN COCKTAIL 2/96 OZ,0.034,9.666,0.33
94,KS CRAN COCKTAIL 2/96 OZ  , KS CRAN COCKTAIL 2/96 OZ,0.103,9.666,1
95,CAPRI SUN 100% JUICE  , KS CRAN COCKTAIL 2/96 OZ,0.034,3.222,0.33
96,STRAWBERRY 2/32Z SMUCKERS  , KS CRAN COCKTAIL 2/96 OZ,0.034,9.666,0.33
97,MAYOCOBA BEANS  20LB  , KS CRAN COCKTAIL 2/96 OZ,0.034,9.666,0.33
98,CHOLULA HOTSAUCE 2/12 OZ.  , KS CRAN COCKTAIL 2/96 OZ,0.034,9.666,0.33
99,BEST FOODS MAYO 64 OZ  , LEM-LIME POWDER 76.5Z GAT,0.034,29,1
100,CAPRI SUN 10% JUICE 40/6Z  , LEM-LIME POWDER 76.5Z GAT,0.034,29,1
101,S.V. PINTO BEANS   8/15 Z  , LEM-LIME POWDER 76.5Z GAT,0.034,29,1
102,LEM-LIME POWDER 76.5Z GAT  , LEM-LIME POWDER 76.5Z GAT,0.034,29,1
103,CHOLULA HOTSAUCE 2/12 OZ.  , SUNNY D 2/128Z FL STYLE,0.034,14.5,0.5
104,GUERRERO 6 CORN TORTILLA  , SUNNY D 2/128Z FL STYLE,0.034,14.5,0.5
105,KS WHEAT BREAD  , SUNNY D 2/128Z FL STYLE,0.034,3.625,0.5
106,KS MANDARIN ORANGE 20/4Z  , SUNNY D 2/128Z FL STYLE,0.034,14.5,0.5
107,STRAWBERRY 2/32Z SMUCKERS  , SUNNY D 2/128Z FL STYLE,0.034,14.5,0.5
108,KS MULTIGRAIN BREAD 2/28Z  , SUNNY D 2/128Z FL STYLE,0.034,7.25,0.5
109,KS CRAN COCKTAIL 2/96 OZ  , SUNNY D 2/128Z FL STYLE,0.068,9.666,1
110,SUNNY D 2/128Z FL STYLE  , SUNNY D 2/128Z FL STYLE,0.068,14.5,1
111,MAYOCOBA BEANS  20LB  , SUNNY D 2/128Z FL STYLE,0.034,14.5,0.5
112,PETITE PALMIERS 32 OZ  , SUNNY D 2/128Z FL STYLE,0.034,4.833,0.5
113,KS 100% JUICE 36/6.75 OZ  , KS ORG VAN SOYMILK 12/32Z,0.034,29,1
114,XL PITTED BLK OLIVES 8/6Z  , KS ORG VAN SOYMILK 12/32Z,0.034,14.5,1
115,KS ORG VAN SOYMILK 12/32Z  , KS ORG VAN SOYMILK 12/32Z,0.034,29,1
116,QUAKER TOASTED OATMEAL  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
117,KS ORG EX V OLIVE OIL 2L  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
118,CAPRI SUN SUPERV 40/6 OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
119,HUNT'S SNACK PACK 36/3.75  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
120,GAROFALO SPAG 8/17.6OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,14.5,1
121,SUNPIX HEARTS/PALM 2/25OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
122,XL PITTED BLK OLIVES 8/6Z  , SUNPIX HEARTS/PALM 2/25OZ,0.034,14.5,1
123,KS CHICKEN BREAST 6/12.5Z  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
124,KS SLICED PEACHES 8/15OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
125,KS PURE HONEY BEAR 3/24OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
126,SWISS MISS NO-SUGAR 60CT  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
127,KS RED RASPBERRY 42 OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
128,KS ARTICHOKE IN OIL 2/33Z  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
129,MISSION 10 FLOUR TORT.  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
130,NP ORG FLAX GRNOLA 35.3Z  , SUNPIX HEARTS/PALM 2/25OZ,0.034,5.8,1
131,WHOLE GRAIN WHITE 2/32 OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,14.5,1
132,STUFF QUEEN OLIVES 2/21OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
133,KS ORG DICED TOM 8/14.5OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
134,KS MARINARA SAUCE 3/32OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,29,1
135,FROSTED MINI-WHEATS 70 OZ  , SUNPIX HEARTS/PALM 2/25OZ,0.034,9.666,1
136,KS CHICKEN BREAST 6/12.5Z  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
137,KS PURE HONEY BEAR 3/24OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
138,WHOLE GRAIN WHITE 2/32 OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,14.5,1
139,KS MARINARA SAUCE 3/32OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
140,KS ARTICHOKE IN OIL 2/33Z  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
141,SUNPIX HEARTS/PALM 2/25OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
142,KS RED RASPBERRY 42 OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
143,STUFF QUEEN OLIVES 2/21OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
144,KS ORG DICED TOM 8/14.5OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
145,GAROFALO SPAG 8/17.6OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,14.5,1
146,MISSION 10 FLOUR TORT.  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
147,QUAKER TOASTED OATMEAL  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
148,FROSTED MINI-WHEATS 70 OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,9.666,1
149,KS SLICED PEACHES 8/15OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
150,SWISS MISS NO-SUGAR 60CT  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
151,XL PITTED BLK OLIVES 8/6Z  , KS CHICKEN BREAST 6/12.5Z,0.034,14.5,1
152,KS ORG EX V OLIVE OIL 2L  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
153,CAPRI SUN SUPERV 40/6 OZ  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
154,NP ORG FLAX GRNOLA 35.3Z  , KS CHICKEN BREAST 6/12.5Z,0.034,5.8,1
155,HUNT'S SNACK PACK 36/3.75  , KS CHICKEN BREAST 6/12.5Z,0.034,29,1
156,KS SLICED PEACHES 8/15OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
157,GAROFALO SPAG 8/17.6OZ  , SWISS MISS NO-SUGAR 60CT,0.034,14.5,1
158,KS ORG DICED TOM 8/14.5OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
159,STUFF QUEEN OLIVES 2/21OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
160,XL PITTED BLK OLIVES 8/6Z  , SWISS MISS NO-SUGAR 60CT,0.034,14.5,1
161,FROSTED MINI-WHEATS 70 OZ  , SWISS MISS NO-SUGAR 60CT,0.034,9.666,1
162,CAPRI SUN SUPERV 40/6 OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
163,KS CHICKEN BREAST 6/12.5Z  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
164,QUAKER TOASTED OATMEAL  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
165,HUNT'S SNACK PACK 36/3.75  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
166,KS PURE HONEY BEAR 3/24OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
167,SUNPIX HEARTS/PALM 2/25OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
168,KS ORG EX V OLIVE OIL 2L  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
169,WHOLE GRAIN WHITE 2/32 OZ  , SWISS MISS NO-SUGAR 60CT,0.034,14.5,1
