S.No.,Rule,Support,Lift,Confidence
1,CHACHIES MANGO SALSA  , CHACHIES MANGO SALSA,0.071,14,1
2,EL MEXICANO FRESCO CASERO  , EL MEXICANO FRESCO CASERO,0.071,14,1
3,KS ITALN BASIL PESTO 22OZ  , MINI BABYBEL CHEESE,0.071,7,0.5
4,7-CHZ RAINBOW TORTELLINI  , MINI BABYBEL CHEESE,0.142,7,1
5,RED SKIN MASHED POTATOES  , MINI BABYBEL CHEESE,0.142,7,1
6,KS PECORINO ROMANO 1.7#RW  , MINI BABYBEL CHEESE,0.071,7,0.5
7,PRESIDENT CRUMB FETA 24OZ  , MINI BABYBEL CHEESE,0.071,3.5,0.5
8,MINI BABYBEL CHEESE  , MINI BABYBEL CHEESE,0.142,7,1
9,CACIQUE QUESO FRESCO 2/16  , CACIQUE QUESO FRESCO 2/16,0.071,14,1
10,PRESIDENT CRUMB FETA 24OZ  , PRESIDENT CRUMB FETA 24OZ,0.142,7,1
11,7-CHZ RAINBOW TORTELLINI  , PRESIDENT CRUMB FETA 24OZ,0.071,3.5,0.5
12,KS ITALN BASIL PESTO 22OZ  , PRESIDENT CRUMB FETA 24OZ,0.071,7,0.5
13,MINI BABYBEL CHEESE  , PRESIDENT CRUMB FETA 24OZ,0.071,3.5,0.5
14,RED SKIN MASHED POTATOES  , PRESIDENT CRUMB FETA 24OZ,0.071,3.5,0.5
15,KASIA'S PIEROGI 8/3-14 OZ  , KASIA'S PIEROGI 8/3-14 OZ,0.071,14,1
16,7-CHZ RAINBOW TORTELLINI  , KS PECORINO ROMANO 1.7#RW,0.071,7,1
17,MINI BABYBEL CHEESE  , KS PECORINO ROMANO 1.7#RW,0.071,7,1
18,RED SKIN MASHED POTATOES  , KS PECORINO ROMANO 1.7#RW,0.071,7,1
19,KS PECORINO ROMANO 1.7#RW  , KS PECORINO ROMANO 1.7#RW,0.071,14,1
20,MINI BABYBEL LITE 12/28CT  , COOKED CORNED BEEF 3# *RW,0.071,14,1
21,COOKED CORNED BEEF 3# *RW  , COOKED CORNED BEEF 3# *RW,0.071,14,1
22,KS MASTERCARVE HAM 4/7-11  , KS MASTERCARVE HAM 4/7-11,0.071,14,1
23,COOKED CORNED BEEF 3# *RW  , MINI BABYBEL LITE 12/28CT,0.071,14,1
24,MINI BABYBEL LITE 12/28CT  , MINI BABYBEL LITE 12/28CT,0.071,14,1
25,QUESO FRESCO 20/2-15 OZ  , QUESO CHIHUAHUA,0.071,14,1
26,QUESO CHIHUAHUA  , QUESO CHIHUAHUA,0.071,14,1
27,ORG RED PEPPER HUMMUS  , ORG RED PEPPER HUMMUS,0.071,14,1
28,QUESO FRESCO 20/2-15 OZ  , QUESO FRESCO 20/2-15 OZ,0.071,14,1
29,QUESO CHIHUAHUA  , QUESO FRESCO 20/2-15 OZ,0.071,14,1
30,JALAPENO CHICKEN EMPANADA  , JALAPENO CHICKEN EMPANADA,0.071,14,1
31,RED SKIN MASHED POTATOES  , RED SKIN MASHED POTATOES,0.142,7,1
32,PRESIDENT CRUMB FETA 24OZ  , RED SKIN MASHED POTATOES,0.071,3.5,0.5
33,KS PECORINO ROMANO 1.7#RW  , RED SKIN MASHED POTATOES,0.071,7,0.5
34,7-CHZ RAINBOW TORTELLINI  , RED SKIN MASHED POTATOES,0.142,7,1
35,KS ITALN BASIL PESTO 22OZ  , RED SKIN MASHED POTATOES,0.071,7,0.5
36,MINI BABYBEL CHEESE  , RED SKIN MASHED POTATOES,0.142,7,1
37,IRISH BANGERS SSG 10/2#  , IRISH BANGERS SSG 10/2#,0.071,14,1
38,SLICE CHKN 10/2-1# HPP  , SLICE CHKN 10/2-1# HPP,0.071,14,1
39,HERB RST SLCD TURKEY 2 LB  , SLICE CHKN 10/2-1# HPP,0.071,14,1
40,HERB RST SLCD TURKEY 2 LB  , HERB RST SLCD TURKEY 2 LB,0.071,14,1
41,SLICE CHKN 10/2-1# HPP  , HERB RST SLCD TURKEY 2 LB,0.071,14,1
42,RED SKIN MASHED POTATOES  , 7-CHZ RAINBOW TORTELLINI,0.142,7,1
43,PRESIDENT CRUMB FETA 24OZ  , 7-CHZ RAINBOW TORTELLINI,0.071,3.5,0.5
44,MINI BABYBEL CHEESE  , 7-CHZ RAINBOW TORTELLINI,0.142,7,1
45,KS PECORINO ROMANO 1.7#RW  , 7-CHZ RAINBOW TORTELLINI,0.071,7,0.5
46,KS ITALN BASIL PESTO 22OZ  , 7-CHZ RAINBOW TORTELLINI,0.071,7,0.5
47,7-CHZ RAINBOW TORTELLINI  , 7-CHZ RAINBOW TORTELLINI,0.142,7,1
48,RED SKIN MASHED POTATOES  , KS ITALN BASIL PESTO 22OZ,0.071,7,1
49,7-CHZ RAINBOW TORTELLINI  , KS ITALN BASIL PESTO 22OZ,0.071,7,1
50,KS ITALN BASIL PESTO 22OZ  , KS ITALN BASIL PESTO 22OZ,0.071,14,1
51,MINI BABYBEL CHEESE  , KS ITALN BASIL PESTO 22OZ,0.071,7,1
52,PRESIDENT CRUMB FETA 24OZ  , KS ITALN BASIL PESTO 22OZ,0.071,7,1
