S.No.,Rule,Support,Lift,Confidence
1,EL MEXICANO FRESCO CASERO  , EL MEXICANO FRESCO CASERO,0.142,7,1
2,KS PECORINO ROMANO 1.7#RW  , MINI BABYBEL CHEESE,0.142,3.5,0.5
3,PRESIDENT CRUMB FETA 24OZ  , MINI BABYBEL CHEESE,0.142,1.75,0.5
4,MINI BABYBEL CHEESE  , MINI BABYBEL CHEESE,0.285,3.5,1
5,CACIQUE QUESO FRESCO 2/16  , CACIQUE QUESO FRESCO 2/16,0.142,7,1
6,MINI BABYBEL CHEESE  , PRESIDENT CRUMB FETA 24OZ,0.142,1.75,0.5
7,PRESIDENT CRUMB FETA 24OZ  , PRESIDENT CRUMB FETA 24OZ,0.285,3.5,1
8,MINI BABYBEL CHEESE  , KS PECORINO ROMANO 1.7#RW,0.142,3.5,1
9,KS PECORINO ROMANO 1.7#RW  , KS PECORINO ROMANO 1.7#RW,0.142,7,1
10,MINI BABYBEL LITE 12/28CT  , MINI BABYBEL LITE 12/28CT,0.142,7,1
11,QUESO CHIHUAHUA  , QUESO CHIHUAHUA,0.142,7,1
12,QUESO FRESCO 20/2-15 OZ  , QUESO CHIHUAHUA,0.142,7,1
13,QUESO CHIHUAHUA  , QUESO FRESCO 20/2-15 OZ,0.142,7,1
14,QUESO FRESCO 20/2-15 OZ  , QUESO FRESCO 20/2-15 OZ,0.142,7,1
