S.No.,Rule,Support,Lift,Confidence
1,CATENA ZAPATA MALBEC  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
2,BENMARCO MALBEC  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
3,LA CREMA CHARD  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
4,CLOS DU BOIS CHARDONNAY  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
5,LA CARRAIA UMBRIA  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
6,BODEGA NORTON MALBEC RSV  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
7,SOUVERAIN CHARDONNAY  , KJ GRAND RSV CHARDONNAY,0.166,1.5,0.5
8,KJ GRAND RSV CHARDONNAY  , KJ GRAND RSV CHARDONNAY,0.333,3,1
9,KS MALBEC  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
10,ACHAVAL FERRER MALBEC  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
11,KS CHARDONNAY 1.5L  , KJ GRAND RSV CHARDONNAY,0.166,3,0.5
12,KS CHARDONNAY 1.5L  , SOUVERAIN CHARDONNAY,0.166,3,0.5
13,S MARGHERITA PINOT GRIGIO  , SOUVERAIN CHARDONNAY,0.166,3,0.5
14,KS MALBEC  , SOUVERAIN CHARDONNAY,0.166,3,0.5
15,KJ GRAND RSV CHARDONNAY  , SOUVERAIN CHARDONNAY,0.166,1.5,0.5
16,KS PINOT GRIGIO  , SOUVERAIN CHARDONNAY,0.166,3,0.5
17,SOUVERAIN CHARDONNAY  , SOUVERAIN CHARDONNAY,0.333,3,1
18,LA CARRAIA UMBRIA  , SOUVERAIN CHARDONNAY,0.166,3,0.5
19,ACACIA PINOT NOIR  , SOUVERAIN CHARDONNAY,0.166,3,0.5
20,CLOS DU BOIS CHARDONNAY  , SOUVERAIN CHARDONNAY,0.166,3,0.5
21,BENMARCO MALBEC  , SOUVERAIN CHARDONNAY,0.166,3,0.5
22,BODEGA NORTON MALBEC RSV  , SOUVERAIN CHARDONNAY,0.166,3,0.5
23,ACACIA PINOT NOIR  , ACACIA PINOT NOIR,0.166,6,1
24,KS PINOT GRIGIO  , ACACIA PINOT NOIR,0.166,6,1
25,SOUVERAIN CHARDONNAY  , ACACIA PINOT NOIR,0.166,3,1
26,S MARGHERITA PINOT GRIGIO  , ACACIA PINOT NOIR,0.166,6,1
27,KS MALBEC  , CLOS DU BOIS CHARDONNAY,0.166,6,1
28,BENMARCO MALBEC  , CLOS DU BOIS CHARDONNAY,0.166,6,1
29,CLOS DU BOIS CHARDONNAY  , CLOS DU BOIS CHARDONNAY,0.166,6,1
30,LA CARRAIA UMBRIA  , CLOS DU BOIS CHARDONNAY,0.166,6,1
31,KS CHARDONNAY 1.5L  , CLOS DU BOIS CHARDONNAY,0.166,6,1
32,SOUVERAIN CHARDONNAY  , CLOS DU BOIS CHARDONNAY,0.166,3,1
33,BODEGA NORTON MALBEC RSV  , CLOS DU BOIS CHARDONNAY,0.166,6,1
34,KJ GRAND RSV CHARDONNAY  , CLOS DU BOIS CHARDONNAY,0.166,3,1
35,CLOS DU BOIS CHARDONNAY  , BENMARCO MALBEC,0.166,6,1
36,KJ GRAND RSV CHARDONNAY  , BENMARCO MALBEC,0.166,3,1
37,KS CHARDONNAY 1.5L  , BENMARCO MALBEC,0.166,6,1
38,BODEGA NORTON MALBEC RSV  , BENMARCO MALBEC,0.166,6,1
39,SOUVERAIN CHARDONNAY  , BENMARCO MALBEC,0.166,3,1
40,LA CARRAIA UMBRIA  , BENMARCO MALBEC,0.166,6,1
41,KS MALBEC  , BENMARCO MALBEC,0.166,6,1
42,BENMARCO MALBEC  , BENMARCO MALBEC,0.166,6,1
43,CATENA ZAPATA MALBEC  , ACHAVAL FERRER MALBEC,0.166,6,1
44,ACHAVAL FERRER MALBEC  , ACHAVAL FERRER MALBEC,0.166,6,1
45,LA CREMA CHARD  , ACHAVAL FERRER MALBEC,0.166,6,1
46,KJ GRAND RSV CHARDONNAY  , ACHAVAL FERRER MALBEC,0.166,3,1
47,MODELO ESPECIAL CAN 24/12  , MODELO ESPECIAL CAN 24/12,0.166,6,1
48,RUMCHATA  , MODELO ESPECIAL CAN 24/12,0.166,6,1
49,CATENA ZAPATA MALBEC  , LA CREMA CHARD,0.166,6,1
50,LA CREMA CHARD  , LA CREMA CHARD,0.166,6,1
51,ACHAVAL FERRER MALBEC  , LA CREMA CHARD,0.166,6,1
52,KJ GRAND RSV CHARDONNAY  , LA CREMA CHARD,0.166,3,1
53,BUD LIGHT 20 BOTTLE  , BUD LIGHT 20 BOTTLE,0.166,6,1
54,SOUVERAIN CHARDONNAY  , BODEGA NORTON MALBEC RSV,0.166,3,1
55,BENMARCO MALBEC  , BODEGA NORTON MALBEC RSV,0.166,6,1
56,CLOS DU BOIS CHARDONNAY  , BODEGA NORTON MALBEC RSV,0.166,6,1
57,KS CHARDONNAY 1.5L  , BODEGA NORTON MALBEC RSV,0.166,6,1
58,KS MALBEC  , BODEGA NORTON MALBEC RSV,0.166,6,1
59,KJ GRAND RSV CHARDONNAY  , BODEGA NORTON MALBEC RSV,0.166,3,1
60,BODEGA NORTON MALBEC RSV  , BODEGA NORTON MALBEC RSV,0.166,6,1
61,LA CARRAIA UMBRIA  , BODEGA NORTON MALBEC RSV,0.166,6,1
62,LA CREMA CHARD  , CATENA ZAPATA MALBEC,0.166,6,1
63,KJ GRAND RSV CHARDONNAY  , CATENA ZAPATA MALBEC,0.166,3,1
64,CATENA ZAPATA MALBEC  , CATENA ZAPATA MALBEC,0.166,6,1
65,ACHAVAL FERRER MALBEC  , CATENA ZAPATA MALBEC,0.166,6,1
66,STELLA ROSA BIANCO  , STELLA ROSA BIANCO,0.166,6,1
67,BODEGA NORTON MALBEC RSV  , LA CARRAIA UMBRIA,0.166,6,1
68,BENMARCO MALBEC  , LA CARRAIA UMBRIA,0.166,6,1
69,CLOS DU BOIS CHARDONNAY  , LA CARRAIA UMBRIA,0.166,6,1
70,SOUVERAIN CHARDONNAY  , LA CARRAIA UMBRIA,0.166,3,1
71,KJ GRAND RSV CHARDONNAY  , LA CARRAIA UMBRIA,0.166,3,1
72,KS MALBEC  , LA CARRAIA UMBRIA,0.166,6,1
73,KS CHARDONNAY 1.5L  , LA CARRAIA UMBRIA,0.166,6,1
74,LA CARRAIA UMBRIA  , LA CARRAIA UMBRIA,0.166,6,1
75,RUMCHATA  , RUMCHATA,0.166,6,1
76,MODELO ESPECIAL CAN 24/12  , RUMCHATA,0.166,6,1
77,KS PINOT GRIGIO  , KS PINOT GRIGIO,0.166,6,1
78,S MARGHERITA PINOT GRIGIO  , KS PINOT GRIGIO,0.166,6,1
79,SOUVERAIN CHARDONNAY  , KS PINOT GRIGIO,0.166,3,1
80,ACACIA PINOT NOIR  , KS PINOT GRIGIO,0.166,6,1
81,BENMARCO MALBEC  , KS MALBEC,0.166,6,1
82,SOUVERAIN CHARDONNAY  , KS MALBEC,0.166,3,1
83,BODEGA NORTON MALBEC RSV  , KS MALBEC,0.166,6,1
84,LA CARRAIA UMBRIA  , KS MALBEC,0.166,6,1
85,KS MALBEC  , KS MALBEC,0.166,6,1
86,KS CHARDONNAY 1.5L  , KS MALBEC,0.166,6,1
87,CLOS DU BOIS CHARDONNAY  , KS MALBEC,0.166,6,1
88,KJ GRAND RSV CHARDONNAY  , KS MALBEC,0.166,3,1
89,SOUVERAIN CHARDONNAY  , S MARGHERITA PINOT GRIGIO,0.166,3,1
90,ACACIA PINOT NOIR  , S MARGHERITA PINOT GRIGIO,0.166,6,1
91,KS PINOT GRIGIO  , S MARGHERITA PINOT GRIGIO,0.166,6,1
92,S MARGHERITA PINOT GRIGIO  , S MARGHERITA PINOT GRIGIO,0.166,6,1
93,KJ GRAND RSV CHARDONNAY  , KS CHARDONNAY 1.5L,0.166,3,1
94,SOUVERAIN CHARDONNAY  , KS CHARDONNAY 1.5L,0.166,3,1
95,CLOS DU BOIS CHARDONNAY  , KS CHARDONNAY 1.5L,0.166,6,1
96,BENMARCO MALBEC  , KS CHARDONNAY 1.5L,0.166,6,1
97,BODEGA NORTON MALBEC RSV  , KS CHARDONNAY 1.5L,0.166,6,1
98,LA CARRAIA UMBRIA  , KS CHARDONNAY 1.5L,0.166,6,1
99,KS MALBEC  , KS CHARDONNAY 1.5L,0.166,6,1
100,KS CHARDONNAY 1.5L  , KS CHARDONNAY 1.5L,0.166,6,1
