S.No.,Rule,Support,Lift,Confidence
1,FOAM/PLASTIC/CATERING  , BAGS,0.011,11,0.25
2,CHEESE  , COFFEE/SWEETENERS,0.011,12.571,0.14
3,CANNED FISH AND MEAT  , BAKERY,0.011,3.666,0.33
4,CEREAL  , FRUITS & VEGETABLES,0.034,5.279,0.3
5,WRAPS  , BBS,0.011,2.75,0.5
6,FOOD COURT  , FOOD COURT,0.034,29.333,1
7,BEVERAGES  , BBS,0.056,2.75,0.5
8,FRUIT SNACKS  , DAIRY PRODUCTS,0.011,1.128,0.33
9,BAKERY  , CEREAL,0.022,2.2,0.25
10,BAKERY  , MEMBERSHIP AND RENEWALS,0.011,11,0.13
11,WIPES  , SAUCES,0.011,14.666,0.33
12,VEND ITEMS  , WRAPS,0.011,22,0.5
13,FRUITS & VEGETABLES  , DISH DETERGENTS & SUPPLIES,0.011,4.4,0.2
14,DAIRY PRODUCTS  , OIL,0.022,2.256,0.08
15,HAIR CARE  , ANTACID/LAXATIVE/DIETARY AID,0.011,5.5,0.25
16,SALTY SNACKS  , BARS,0.022,9.777,0.33
17,FIRST AID  , WIPES,0.011,29.333,1
18,CONDIMENTS  , VITAMIN/SUPPLEMENTS,0.022,8.8,0.4
19,FOAM/PLASTIC/CATERING  , DIET / NUTRITION,0.011,22,0.25
20,MEAT  , BAKING NUTS,0.011,4.888,0.33
21,BEVERAGES  , PREPARED,0.022,4.4,0.2
22,FOAM/PLASTIC/CATERING  , SPICES,0.011,11,0.25
23,BODY MOISTURIZERS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
24,DISH DETERGENTS & SUPPLIES  , WRAPS,0.011,11,0.25
25,FRUITS & VEGETABLES  , PAPER PRODUCTS,0.022,4.4,0.4
26,PAPER PRODUCTS  , PASTA & SAUCES,0.022,11,0.25
27,SPICES  , FOAM/PLASTIC/CATERING,0.011,11,0.5
28,ANTI-PERS/DEODORANT  , FOAM/PLASTIC/CATERING,0.011,22,1
29,LAUNDRY DETERGENTS & SUPPLIES  , FOAM/PLASTIC/CATERING,0.011,2.75,0.13
30,COFFEE/SWEETENERS  , BEVERAGES,0.011,5.176,1
31,CHEMICALS  , FRUIT SNACKS,0.011,7.333,0.25
32,HAIR CARE  , BEVERAGES,0.011,2.2,0.25
33,PET SUPPLIES  , JUICES,0.011,6.285,0.14
34,CEREAL  , TICKETING,0.011,8.8,0.1
35,DISH DETERGENTS & SUPPLIES  , BEVERAGES,0.022,2.588,0.5
