S.No.,Rule,Support,Lift,Confidence
1,BENMARCO MALBEC  , KJ GRAND RSV CHARDONNAY,1,1,1
2,SOUVERAIN CHARDONNAY  , KJ GRAND RSV CHARDONNAY,1,1,1
3,KJ GRAND RSV CHARDONNAY  , KJ GRAND RSV CHARDONNAY,1,1,1
4,BODEGA NORTON MALBEC RSV  , KJ GRAND RSV CHARDONNAY,1,1,1
5,BODEGA NORTON MALBEC RSV  , SOUVERAIN CHARDONNAY,1,1,1
6,BENMARCO MALBEC  , SOUVERAIN CHARDONNAY,1,1,1
7,SOUVERAIN CHARDONNAY  , SOUVERAIN CHARDONNAY,1,1,1
8,KJ GRAND RSV CHARDONNAY  , SOUVERAIN CHARDONNAY,1,1,1
9,KJ GRAND RSV CHARDONNAY  , BENMARCO MALBEC,1,1,1
10,SOUVERAIN CHARDONNAY  , BENMARCO MALBEC,1,1,1
11,BENMARCO MALBEC  , BENMARCO MALBEC,1,1,1
12,BODEGA NORTON MALBEC RSV  , BENMARCO MALBEC,1,1,1
13,BODEGA NORTON MALBEC RSV  , BODEGA NORTON MALBEC RSV,1,1,1
14,BENMARCO MALBEC  , BODEGA NORTON MALBEC RSV,1,1,1
15,SOUVERAIN CHARDONNAY  , BODEGA NORTON MALBEC RSV,1,1,1
16,KJ GRAND RSV CHARDONNAY  , BODEGA NORTON MALBEC RSV,1,1,1
